@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R2-37,39-55,57-72,75-76,79-85,87,89-106,108-186'

@attribute color_bgr_b_mean numeric
@attribute color_lab_a_intensity1 numeric
@attribute color_luv_u_centroid numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_g_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_g_intensity1 numeric
@attribute color_norm_b_intensity2 numeric
@attribute haralick_bgr_r_contrast numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.592218,0.460317,0.179487,-0.090598,0.041103,-0.992835,-0.994854,0.073684,-0.525692,-0.994742,NON_ULCER
-0.64398,0.492063,0.153846,-0.10951,-0.061859,-0.974301,-0.984341,-0.031579,-0.509881,-0.995383,NON_ULCER
-0.475542,0.428571,0.179487,-0.01686,0.150052,-0.995059,-0.996249,0.178947,-0.478261,-0.984181,NON_ULCER
-0.06927,-0.047619,-0.179487,0.062461,0.583577,-0.994442,-0.9992,0.6,-0.438735,-0.978774,NON_ULCER
-0.211231,0.047619,-0.076923,0.03124,0.512978,-0.996353,-0.99773,0.536842,-0.44664,-0.965688,NON_ULCER
-0.345178,0.396825,0.051282,0.107212,0.20044,-0.994783,-0.996063,0.221053,-0.407115,-0.973151,NON_ULCER
-0.389485,0.269841,0.051282,0.026935,0.298311,-0.987466,-0.995243,0.326316,-0.454545,-0.983665,NON_ULCER
-0.316331,0.365079,0.153846,0.031876,0.284025,-0.971698,-0.988459,0.305263,-0.407115,-0.793664,NON_ULCER
-0.427363,0.52381,0.307692,-0.047751,0.177271,-0.991064,-0.996294,0.2,-0.494071,-0.982975,NON_ULCER
-0.480295,0.460317,0.25641,-0.071086,0.190733,-0.993312,-0.996952,0.221053,-0.501976,-0.99009,NON_ULCER
-0.382307,0.52381,0.25641,0.015481,0.152905,-0.982039,-0.995713,0.2,-0.454545,-0.968916,NON_ULCER
-0.481211,0.460317,0.25641,-0.064072,0.160205,-0.993339,-0.997226,0.2,-0.494071,-0.984283,NON_ULCER
-0.209145,0.238095,0.102564,0.039251,0.402313,-0.988907,-0.994464,0.431579,-0.454545,-0.884623,NON_ULCER
-0.550188,0.428571,0.205128,-0.083134,0.124381,-0.970512,-0.987578,0.157895,-0.509881,-0.966637,NON_ULCER
